title,company,location,salary,description,requirements,url,date_posted,source
Instructional Coordinator,Pinnacle Services,"Columbus, OH","110,000-160,000","Pinnacle Services is hiring an Instructional Coordinator in Columbus, OH. Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.

Responsibilities:
- Observe work of teaching staff to evaluate performance and to recommend changes that could strengthen teaching skills.
- Plan and conduct teacher training programs and conferences dealing with new classroom procedures, instructional materials and equipment, and teaching aids.
- Interpret and enforce provisions of state education codes and rules and regulations of state education boards.
- Conduct or participate in workshops, committees, and conferences designed to promote the intellectual, social, and physical welfare of students.
- Advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures.
- Advise and teach students.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with Articulate Storyline, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook
- Working knowledge of Education and Training
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Microsoft PowerPoint, TechSmith Camtasia, Adobe Acrobat, Adobe After Effects",Articulate Storyline; Learning management system LMS; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Education and Training; English Language; Administration and Management,https://example.com/jobs/25-9031.00,2026-06-01,LinkedIn
Instructional Coordinator,Greenfield Manufacturing,"Charlotte, NC","110,000-160,000","Greenfield Manufacturing is hiring an Instructional Coordinator in Charlotte, NC. Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.

Responsibilities:
- Observe work of teaching staff to evaluate performance and to recommend changes that could strengthen teaching skills.
- Plan and conduct teacher training programs and conferences dealing with new classroom procedures, instructional materials and equipment, and teaching aids.
- Interpret and enforce provisions of state education codes and rules and regulations of state education boards.
- Conduct or participate in workshops, committees, and conferences designed to promote the intellectual, social, and physical welfare of students.
- Advise teaching and administrative staff in curriculum development, use of materials and equipment, and implementation of state and federal programs and procedures.
- Advise and teach students.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with Articulate Storyline, Learning management system LMS, Microsoft Excel, Microsoft Office software, Microsoft Outlook
- Working knowledge of Education and Training
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Microsoft PowerPoint, TechSmith Camtasia, Adobe Acrobat, Adobe After Effects",Articulate Storyline; Learning management system LMS; Microsoft Excel; Microsoft Office software; Microsoft Outlook; Education and Training; English Language; Administration and Management,https://example.com/jobs/25-9031.00,2026-06-01,LinkedIn
Order Clerk,Northbridge Health,"Charlotte, NC","40,000-62,000","Northbridge Health is hiring an Order Clerk in Charlotte, NC. Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.

Responsibilities:
- Review orders for completeness according to reporting procedures and forward incomplete orders for further processing.
- Obtain customers' names, addresses, and billing information, product numbers, and specifications of items to be purchased, and enter this information on order forms.
- Recommend merchandise or services that will meet customers' needs.
- Inspect outgoing work for compliance with customers' specifications.
- Receive and respond to customer complaints.
- Check inventory records to determine availability of requested merchandise.

Required qualifications:
- High school diploma; some vocational training or certification; some prior experience
- Proficiency with Microsoft Excel, Microsoft Office software, Order management software, Adobe Acrobat, Apple Safari
- Working knowledge of Customer and Personal Service
- Working knowledge of Production and Processing
- Working knowledge of Computers and Electronics

Preferred qualifications:
- Experience with Intuit QuickBooks, Microsoft Access, Microsoft Edge, Microsoft Outlook",Microsoft Excel; Microsoft Office software; Order management software; Adobe Acrobat; Apple Safari; Customer and Personal Service; Production and Processing; Computers and Electronics,https://example.com/jobs/43-4151.00,2026-06-01,LinkedIn
Order Clerk,Capital One,"McLean, VA","40,000-62,000","Capital One is hiring an Order Clerk in McLean, VA. Receive and process incoming orders for materials, merchandise, classified ads, or services such as repairs, installations, or rental of facilities. Generally receives orders via mail, phone, fax, or other electronic means. Duties include informing customers of receipt, prices, shipping dates, and delays; preparing contracts; and handling complaints.

Responsibilities:
- Review orders for completeness according to reporting procedures and forward incomplete orders for further processing.
- Obtain customers' names, addresses, and billing information, product numbers, and specifications of items to be purchased, and enter this information on order forms.
- Recommend merchandise or services that will meet customers' needs.
- Inspect outgoing work for compliance with customers' specifications.
- Receive and respond to customer complaints.
- Check inventory records to determine availability of requested merchandise.

Required qualifications:
- High school diploma; some vocational training or certification; some prior experience
- Proficiency with Microsoft Excel, Microsoft Office software, Order management software, Adobe Acrobat, Apple Safari
- Working knowledge of Customer and Personal Service
- Working knowledge of Production and Processing
- Working knowledge of Computers and Electronics

Preferred qualifications:
- Experience with Intuit QuickBooks, Microsoft Access, Microsoft Edge, Microsoft Outlook",Microsoft Excel; Microsoft Office software; Order management software; Adobe Acrobat; Apple Safari; Customer and Personal Service; Production and Processing; Computers and Electronics,https://example.com/jobs/43-4151.00,2026-06-01,LinkedIn
Management Analyst,Turner Construction,"McLean, VA","78,000-118,000","Turner Construction is hiring a Management Analyst in McLean, VA. Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.

Responsibilities:
- Gather and organize information on problems or procedures.
- Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.
- Analyze data gathered and develop solutions or alternative methods of proceeding.
- Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.
- Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.
- Interview personnel and conduct on-site observation to ascertain unit functions, work performed, and methods, equipment, and personnel used.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Atlassian JIRA, Microsoft Excel, Microsoft Office software, Microsoft Power BI, Microsoft PowerPoint
- Working knowledge of English Language
- Working knowledge of Administration and Management
- Working knowledge of Customer and Personal Service

Preferred qualifications:
- Experience with Microsoft SharePoint, Microsoft Visio, Python, Salesforce software",Atlassian JIRA; Microsoft Excel; Microsoft Office software; Microsoft Power BI; Microsoft PowerPoint; English Language; Administration and Management; Customer and Personal Service,https://example.com/jobs/13-1111.00,2026-06-01,LinkedIn
Management Analyst,Meridian Logistics,"Atlanta, GA","78,000-118,000","Meridian Logistics is hiring a Management Analyst in Atlanta, GA. Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.

Responsibilities:
- Gather and organize information on problems or procedures.
- Confer with personnel concerned to ensure successful functioning of newly implemented systems or procedures.
- Analyze data gathered and develop solutions or alternative methods of proceeding.
- Document findings of study and prepare recommendations for implementation of new systems, procedures, or organizational changes.
- Plan study of work problems and procedures, such as organizational change, communications, information flow, integrated production methods, inventory control, or cost analysis.
- Interview personnel and conduct on-site observation to ascertain unit functions, work performed, and methods, equipment, and personnel used.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Atlassian JIRA, Microsoft Excel, Microsoft Office software, Microsoft Power BI, Microsoft PowerPoint
- Working knowledge of English Language
- Working knowledge of Administration and Management
- Working knowledge of Customer and Personal Service

Preferred qualifications:
- Experience with Microsoft SharePoint, Microsoft Visio, Python, Salesforce software",Atlassian JIRA; Microsoft Excel; Microsoft Office software; Microsoft Power BI; Microsoft PowerPoint; English Language; Administration and Management; Customer and Personal Service,https://example.com/jobs/13-1111.00,2026-06-01,LinkedIn
Marketing Manager,Brightpath Solutions,"Atlanta, GA","78,000-118,000","Brightpath Solutions is hiring a Marketing Manager in Atlanta, GA. Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.

Responsibilities:
- Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.
- Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.
- Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.
- Develop pricing strategies, balancing firm objectives and customer satisfaction.
- Compile lists describing product or service offerings.
- Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Atlassian JIRA, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Salesforce software
- Working knowledge of Sales and Marketing
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Structured query language SQL, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software",Atlassian JIRA; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Salesforce software; Sales and Marketing; English Language; Administration and Management,https://example.com/jobs/11-2021.00,2026-06-01,LinkedIn
Marketing Manager,Summit Financial,Remote,"78,000-118,000","Summit Financial is hiring a Marketing Manager in Remote. Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.

Responsibilities:
- Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.
- Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.
- Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.
- Develop pricing strategies, balancing firm objectives and customer satisfaction.
- Compile lists describing product or service offerings.
- Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Atlassian JIRA, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Salesforce software
- Working knowledge of Sales and Marketing
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Structured query language SQL, Adobe Acrobat, Adobe After Effects, Adobe Creative Cloud software",Atlassian JIRA; Microsoft Excel; Microsoft Office software; Microsoft PowerPoint; Salesforce software; Sales and Marketing; English Language; Administration and Management,https://example.com/jobs/11-2021.00,2026-06-01,LinkedIn
Compliance Manager,Cedar Ridge Care,Remote,"78,000-118,000","Cedar Ridge Care is hiring a Compliance Manager in Remote. Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.

Responsibilities:
- Report violations of compliance or regulatory standards to duly authorized enforcement agencies as appropriate or required.
- Identify compliance issues that require follow-up or investigation.
- Discuss emerging compliance issues to ensure that management and employees are informed about compliance reporting systems, policies, and practices.
- File appropriate compliance reports with regulatory agencies.
- Maintain documentation of compliance activities, such as complaints received or investigation outcomes.
- Consult with corporate attorneys as necessary to address difficult legal compliance issues.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Adobe Acrobat
- Working knowledge of Law and Government
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Apple Safari, Microsoft Access, Microsoft Project, Microsoft SharePoint",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Adobe Acrobat; Law and Government; English Language; Administration and Management,https://example.com/jobs/11-9199.02,2026-06-01,LinkedIn
Compliance Manager,Vantage Retail,"Columbus, OH","78,000-118,000","Vantage Retail is hiring a Compliance Manager in Columbus, OH. Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.

Responsibilities:
- Report violations of compliance or regulatory standards to duly authorized enforcement agencies as appropriate or required.
- Identify compliance issues that require follow-up or investigation.
- Discuss emerging compliance issues to ensure that management and employees are informed about compliance reporting systems, policies, and practices.
- File appropriate compliance reports with regulatory agencies.
- Maintain documentation of compliance activities, such as complaints received or investigation outcomes.
- Consult with corporate attorneys as necessary to address difficult legal compliance issues.

Required qualifications:
- Bachelor's degree; 2-4 years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Adobe Acrobat
- Working knowledge of Law and Government
- Working knowledge of English Language
- Working knowledge of Administration and Management

Preferred qualifications:
- Experience with Apple Safari, Microsoft Access, Microsoft Project, Microsoft SharePoint",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft PowerPoint; Adobe Acrobat; Law and Government; English Language; Administration and Management,https://example.com/jobs/11-9199.02,2026-06-01,LinkedIn
Operations Research Analyst,Onyx Technologies,"Columbus, OH","110,000-160,000","Onyx Technologies is hiring an Operations Research Analyst in Columbus, OH. Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.

Responsibilities:
- Present the results of mathematical modeling and data analysis to management or other end users.
- Define data requirements, and gather and validate information, applying judgment and statistical tests.
- Perform validation and testing of models to ensure adequacy, and reformulate models, as necessary.
- Prepare management reports defining and evaluating problems and recommending solutions.
- Collaborate with others in the organization to ensure successful implementation of chosen problem solutions.
- Formulate mathematical or simulation models of problems, relating constants and variables, restrictions, alternatives, conflicting objectives, and their numerical parameters.

Required qualifications:
- Graduate or professional degree; 5+ years of relevant experience
- Proficiency with Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Power BI, Microsoft PowerPoint
- Working knowledge of Mathematics
- Working knowledge of Computers and Electronics
- Working knowledge of Engineering and Technology

Preferred qualifications:
- Experience with Python, Salesforce software, Structured query language SQL, Tableau",Microsoft Excel; Microsoft Office software; Microsoft Outlook; Microsoft Power BI; Microsoft PowerPoint; Mathematics; Computers and Electronics; Engineering and Technology,https://example.com/jobs/15-2031.00,2026-06-01,LinkedIn
