title,company,location,description,salary,url,date_found,date_of_last_update,date_posted,source,application_status
GenAI Developer,IBM Consulting,Washington DC,Develop generative AI solutions for enterprise clients using IBM watsonx and open-source LLMs. Python LangChain CrewAI RAG vector databases required. Experience with prompt engineering and LLMOps a plus.,120000-165000,https://ibm.com/careers/genai-developer-dc,5/31/2026,5/31/2026,5/18/2026,demo,Under Consideration
Staff ML Engineer,Freddie Mac,McLean VA (Hybrid),Lead machine learning model development for mortgage credit scoring. Python Spark TensorFlow Databricks MLflow required. Experience with model governance explainability and regulatory compliance.,155000-195000,https://freddiemac.com/careers/staff-ml-engineer,5/31/2026,5/31/2026,5/12/2026,demo,Rejected
Data Engineering Lead,Maximus,Reston VA,Lead a team of 6 data engineers building ETL pipelines for health IT programs. Python Airflow AWS SQL technical leadership required. Experience with Medicaid or Medicare data systems preferred.,135000-175000,https://maximus.com/careers/de-lead-reston,5/31/2026,5/31/2026,5/21/2026,demo,Under Consideration
Applied AI Researcher,Center for Security and Emerging Technology,Washington DC,Research AI policy and technical capabilities at the intersection of national security and technology. Python NLP LLM analysis academic writing required. MA or PhD strongly preferred.,95000-130000,https://cset.georgetown.edu/careers/applied-ai-researcher,5/31/2026,5/31/2026,5/10/2026,demo,Under Consideration
Business Intelligence Developer,World Bank Group,Washington DC,Design and maintain Power BI and Tableau dashboards for international development programs. SQL DAX Python required. Experience with Salesforce data integration and international development context preferred.,90000-120000,https://worldbank.org/careers/bi-developer,5/31/2026,5/31/2026,5/22/2026,demo,Under Consideration
Cloud Data Architect,General Dynamics IT,Falls Church VA,Architect cloud-native data solutions on Azure and AWS for federal agencies. Terraform CDK Spark SQL Python required. Azure Solutions Architect certification a strong plus.,150000-195000,https://gdit.com/careers/cloud-data-architect,5/31/2026,5/31/2026,5/19/2026,demo,Rejected
Quantitative Analyst,Federal Reserve Board,Washington DC,Apply econometric and ML methods to macroeconomic forecasting. Python R SAS Stata SQL statistical modeling required. PhD in Economics Statistics or related field strongly preferred.,110000-155000,https://federalreserve.gov/careers/quant-analyst,5/31/2026,5/31/2026,5/13/2026,demo,Rejected
Data Science Manager,Marriott International,Bethesda MD (Hybrid),Lead a team of 8 data scientists building revenue optimization and personalization models. Python Spark Databricks A/B testing required. People management and executive communication experience essential.,145000-185000,https://marriott.com/careers/ds-manager-bethesda,5/31/2026,5/31/2026,5/20/2026,demo,Rejected
AI Curriculum Developer,Codecademy / Skillsoft,Remote,Develop technical AI and ML learning paths including hands-on projects and assessments. Python PyTorch LLMs NLP pedagogy and instructional design required. Passion for democratizing AI education essential.,85000-115000,https://codecademy.com/careers/ai-curriculum-developer,5/31/2026,5/31/2026,5/23/2026,demo,Applied
Data Engineer (Remote),HashiCorp,Remote,Build and maintain data infrastructure supporting product analytics and ML platforms. dbt Snowflake Airflow Python SQL Looker required. Experience with event-driven architectures and Kafka preferred.,130000-170000,https://hashicorp.com/careers/data-engineer-remote,5/31/2026,5/31/2026,5/18/2026,demo,Applied
ML Platform Engineer,Verint Systems,Remote,Build and scale ML training and inference infrastructure. Kubernetes Docker Python MLflow Ray Seldon required. Experience with GPU resource scheduling and cost optimization preferred.,135000-175000,https://verint.com/careers/ml-platform-engineer,5/31/2026,5/31/2026,5/16/2026,demo,Have Not Applied
Senior Analytics Consultant,McKinsey & Company,Washington DC,Deliver data and analytics strategy engagements for public sector clients. Python SQL Tableau stakeholder management structured communication required. MBA or 6+ years consulting experience.,155000-220000,https://mckinsey.com/careers/senior-analytics-consultant-dc,5/31/2026,5/31/2026,5/11/2026,demo,Under Consideration
Data Quality Engineer,Peraton,Herndon VA,Define and enforce data quality standards across enterprise data pipelines. Great Expectations dbt SQL Python required. Experience with federal data governance frameworks a strong plus.,105000-140000,https://peraton.com/careers/data-quality-engineer,5/31/2026,5/31/2026,5/17/2026,demo,Under Consideration
AI/Data Strategy Advisor,KPMG Federal,Washington DC,Advise federal agencies on AI adoption data strategy and responsible AI governance. Strong written communication policy analysis Python or SQL preferred. Clearance eligible. Prior government service a significant plus.,130000-170000,https://kpmg.com/careers/ai-strategy-advisor-dc,5/31/2026,5/31/2026,5/20/2026,demo,Rejected
